ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Add columns here,Add columns here,Add columns here,Reviewer,Review
43-35,31/03/2023 18:35:00,https://twitter.com/dalawatayo/status/1599002101832511490,43,"Dy, Timothy",MRCS,BBM Oxford Grad,bbm oxford,dalawatayo,lakbay,"Kung taga hanga ka nanonood ka kita mo ang daming kapalpakan naka titig ka lang bagsak ang panga mo, suporta ka rin ba? Hindi pa huli ang lahat. Bayan muna",Identified,08/10,584,1488,,Si BBM yan. Graduate sya ng Oxford tapos Mayor Joy Beltran!!!,,Text,03/12/2022 19:36,,Rational,2,0,0,0,,,"Oxford confirms that Bongbong Marcos did not complete his degree. (Therefore, he did NOT graduate from Oxford). https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree",,,,,,
43-36,30/03/2023 22:39:10,https://twitter.com/owiciabwufuw/status/1486305552737390598,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@owiciabwufuw,engineering ang puputol sa tite ko,i love how my brain rejects the world panda's arent racist cuz they are white and black and asian at the same time therefore my gender identity is panda.,Anonymous,03/21,1,5,hoots,tf? ano bang pinagsasasabi mo gago? oxford graduate  and special diploma pa nakuha nya na which is the highest attainment na pwede mo makuha towards academical system ng oxford dikaba nanonood ng balita? cinonfirm pa nila mismo sa univ. ng oxford kung totoo and may record si bbm,,Text,26/01/2022 19:50,,Emotional,0,1,0,0,,,"Oxford confirms that Bongbong Marcos did not complete his degree. (Therefore, he did NOT graduate from Oxford). https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree
",Location specified is unclear,,,,,
43-37,30/03/2023 22:48:20,https://twitter.com/jcrm4ever/status/1485748678476591106,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@jcrm4ever,dont me darling!,,Anonymous,01/18,115,4,,"Eh off the grid ka pala..haha kawawang nilalang. Saan ka ba nanggaling at huli ka sa balita.. pinuntahan na yan ng smni ang oxford at kinomperma na graduate si bbm. Ung tax evasion? Hindi mo din alam? Hahahaha..
Arf2x..nanamn ang mga robredogs na lutang tulad ng mama nila tssk...",,Text,25/01/2022 06:57,,Emotional,0,0,0,0,,,An Oxford special diploma is NOT equivalent to a Bachelor's degree https://newsinfo.inquirer.net/1507278/marcos-jrs-special-diploma-from-oxford-you-can-have-it-too ,,,,,,
43-38,30/03/2023 22:51:44,https://twitter.com/LeslieLuciano8/status/1485505876958257153,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@LeslieLuciano8,Leslie Luciano,,Anonymous,05/20,737,354,,Nakapagtapos si BBM sa Oxford. Kaya sya nakapasok sa Wharton.,,Text,24/01/2022 14:52,,Rational,0,1,0,0,,,"Oxford confirms that Bongbong Marcos did not complete his degree. (Therefore, he did NOT graduate from Oxford). https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree
https://verafiles.org/articles/documents-bongbong-marcos-university-education-part-2-wharto",,,,,,
43-39,30/03/2023 22:54:00,https://twitter.com/leonita_ortega/status/1459532913033183236,43,"Dy, Timothy",MRCS,BBM Oxford Grad,bbm oxford,@leonita_ortega,Mizchevous Kitten,Just keep moving forward,Identified,10/21,620,541,,@DapatSiLeniii BBM got his degree from Oxford. SMNI NEWS field reporter went to Oxford just to clarify the issue. Sinungaling ang Rappler mo boooooo!!!!,,"Text, Reply",13/11/2021 22:45,,Rational,1,0,0,0,,,Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,,,,,,
43-40,30/03/2023 23:03:00,https://twitter.com/24Jedwin/status/1459760735773331463,43,"Dy, Timothy",MRCS,BBM Oxford Grad,bbm oxford,24Jedwin,niwdej,,Identified,06/20,122,52,,"@lueurvicey Nood-nood din NG balita @lueurvicey SMNI news na mismo ngsabi na nakagraduate NG Oxford si BBM, hanggang ngayon ba naman hindi parin kayo tapos sa propaganda nyong ""magnanakaw kuno"" at ""fake diploma kuno"".",,"Text, Reply",14/11/2021 13:50,,Rational,3,0,0,0,,,Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,,,,,,
43-41,31/03/2023 10:23:00,https://twitter.com/molla_just/status/1454351482325659648,43,"Dy, Timothy",MRCS,BBM Oxford Grad,bbm oxford,@molla_just,GOTCHU ガーチュー bkdk,"Love requires one thing, and its trust.
kp mileapo 💚",Identified,02/18,127,7,,@topsmam @BossBujah @kowalerts Are you that incompetent? 😂 its been confirmed that BBM did graduate in oxford. Want me to say it in tagalog so you can comprehend what im saying?,,"Text, Reply",30/10/2021 15:36,,Rational,0,1,0,0,,,Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,,,,,,
43-42,31/03/2023 10:42:00,https://twitter.com/Sejun30636149/status/1454129415642701824,43,"Dy, Timothy",MRCS,BBM Oxford Grad,bbm oxford,@Sejun30636149,Sandra💅,Hindi ako troll.,Identified,12/20,156,129,,"@krimstixd @Ncldizon11 @bunnyria_ andami mong binabato ha. Si BBM nag karoon yan ng special diploma sa Oxford, hephep. wag mo maliitin yan, hindi kagaya ng education system ng uk ang education system natin dito sa Pinas. Mahirap makapasok sa oxford
ang Special Diploma ni BBM, noong 1970s ay katumbas narin ng BA",,"Text, Reply",30/10/2021 00:54,,Rational,0,0,0,0,,,Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,,,,,,
43-43,31/03/2023 11:14:00,https://twitter.com/c_l_a_u_sl/status/1537001637587603456,43,"Dy, Timothy",MRCS,BBM Oxford Grad,bbm oxford,@c_l_a_u_sl,Kon Dr.,,Anonymous,10/09,330,206,Japan,@giingonza @leisbeth_recto Luh nagtapos naman talaga sya sa Oxford! Nag masters ka ba? Kase mukhang di mo alam requirements bago ka mag apply ng graduate programs. Pano kaya nakaqualify si BBM sa MBA ng Harvard kung ala sya Undergraduate program na natapos? 🤭,,"Text, Reply",15/06/2022 17:18,,Rational,0,0,0,0,,,Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,Location suspected to be false.,,,,,
43-44,31/03/2023 11:20:00,https://twitter.com/desmond_lim92/status/1536705948315619328,43,"Dy, Timothy",MRCS,BBM Oxford Grad,bbm oxford,@desmond_lim92,Desmond,Engineer | Aerospace enthusiast,Identified,09/20,76,36,Metaverse,"@p0pp0l @canete_darwin BBM did finish a 3-year diploma course at Oxford, no. 1 ranked university in the world. Just so u know, degrees from third world countries do not mean shit, Philippines best university ranked 800th in the world.",,"Text, Reply",14/06/2022 21:43,,Rational,2,0,0,0,,,Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,Location is not a physical location.,,,,,
43-45,31/03/2023 17:54:00,https://twitter.com/bonitakat/status/719112534083514368,43,"Dy, Timothy",MRCS,BBM Oxford Grad,bbm oxford,@bonitakat,Katrina S,Favored and Loved by THE ONE. 🤍,Identified,03/09,206,289,"Davao City, Philippines","BBM is VERY smart. Something you'd expect from someone who graduated from Oxford and Wharton. #PiliPinasDebates2016
",,Text,04/10/2016 18:39,,Rational,4,0,1,0,,,"BBM does not hold a degree from Oxford nor did he finish undergrad studies there, only a special diploma which was treated as an equivalent for the purposes of admission to Wharton (https://verafiles.org/articles/documents-bongbong-marcos-university-education-part-2-wharto)",,,,,,
43-46,31/03/2023 17:56:00,https://twitter.com/Natans_Lover/status/1457385847351746564,43,"Dy, Timothy",MRCS,BBM Oxford Grad,bbm oxford,@Natans_Lover,Princess Sita 🏳️‍🌈 | NO TO MENSTRUAL LEAVE BILL,"Artist
🇵🇭👊✌️🏳️‍🌈

Teetotaler 

Abortion is Murder
Sex Work is not Work

IN THE NAME OF GOD: A HOLY BETRAYAL",Anonymous,05/19,2535,1576,A Holy Betrayal,"I dont think so...
He had graduated in Oxford...

@skeptic_tin
 
Yep... BBM graduated in Oxford...",,Text,11/08/2021 00:33,,Rational,2,0,0,0,,,Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,,,,,,
43-47,31/03/2023 18:06:00,https://twitter.com/LunaAdriatico/status/1566618397634600962,43,"Dy, Timothy",MRCS,BBM Oxford Grad,bbm oxford,@LunaAdriatico,Flor De Luna Adriatico,Simple,Anonymous,10/21,7,0,,Haha Hanggang ngayon bitter kayo hindi niyo matanggap na nilampaso ni BBM Ang Ina niyong lutang at Oxford na ang nagsabi graduated Siya doon kaysa Kay Leni di marunong magkwenta abogado pa naman na ipinagyayabang ninyo mga ulol,,Text,09/05/2022 10:45,,Emotional,0,0,0,1,,,Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,,,,,,
43-48,31/03/2023 18:58:00,https://twitter.com/AyonokojiNA/status/1567315279109312514,43,"Dy, Timothy",MRCS,BBM Oxford Grad,bbm oxford,@AyonokojiNA,ケバン • 綾小路♀️ of Sir Oberon Vortigern 🦋,"🇵🇭🇨🇳🇪🇸
Otaku Since 2005. FGOJP/FGONA player.
I love:
- Oberon Vortigern🦋
- Roleplaying🎬
- Hedgehogs🦔
- Vintage stuff📺
- Real Scary backstories☠😱",Identified,03/17,437,134,"Mabalacat, Central Luzon","For some reason, pink trolls always nagging about BBM's education in Oxford where he INDEED graduated as confirmed by his classmates, this lady keeps trying hard to have awards or attainment from Harvard with the lies of her lying allies. 18 days of Drug free Philippines? Really?",,Text,09/07/2022 08:54,,Emotional,0,0,0,0,,,Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,,,,,,
43-49,31/03/2023 19:01:00,https://twitter.com/Grace26602317/status/1536366749712457728,43,"Dy, Timothy",MRCS,BBM Oxford Grad,bbm oxford,@Grace26602317,Grace,,Anonymous,09/15,7,2,,They will not invite BBM if he is not enrolled and graduated in Oxford University.. that school is not stupid to invite a “just” speaker… “just saying” ✌🏻👊🏻,,Text,13/06/2022 23:15,,Rational,0,2,0,1,,,Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,,,,,,
43-50,01/04/2023 21:42:00,https://twitter.com/petronvi26/status/1540280209680769024,43,"Dy, Timothy",MRCS,BBN Oxford Grad,bbm oxford,@petronvi26,David Ho,,Identified,04/13,1452,165,"Jeddah, Saudi Arabia",BBM OXFORD GRADUATED! https://t.co/DgGhAnviPg,,"Text, URL",24/06/2022 18:26,,Rational,2,0,0,0,,,Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,URL redirects to an irrelevant video on Facebook. User exhibits troll behavior.,,,,,
43-51,01/04/2023 21:52:00,https://twitter.com/Michael550265/status/1523937064227549185,43,"Dy, Timothy",MRCS,BBM Oxford Grad,bbm oxford,@Michael550265,Michael,This is the way,Anonymous,05/21,101,253,,"@ilda_talk BBM graduated from Oxford University.  Went to study in Wharton Business School.

Compared to Leni who graduated from an unknown University then flunked the Bar Exams",,"Text, Reply",10/05/2022 16:04,,Rational,1,0,0,0,,,Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,,,,,,
43-52,01/04/2023 22:07:00,https://twitter.com/Michael550265/status/1524012606851141632,43,"Dy, Timothy",MRCS,BBM Oxford Grad,bbm oxford,@Michael550265,Michael,This is the way,Anonymous,05/21,101,253,,@GilyanJurj Just to repeat BBM graduated from Oxford University. Leni is a graduate of a no name Uni and a BAR FLUNKER.,,"Text, Reply",05/10/2022 21:04,,Rational,0,0,0,0,,,Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,,,,,,
43-53,31/03/2023 13:41:00,https://twitter.com/esom_kim/status/1455745737157869575,43,"Reyes, Victor",MRCS,BBM Oxford Grad,BBM Oxford,@esom_kim,Esom Kim,,Anonymous,07/21,11,14,,@mtthw_jhn Sorry ask ko lang. Saan ko makikita na claim ni BBM na graduate siya ng Oxford?,,"Text, Reply",03/11/2021 03:56,,Rational,0,0,0,0,,,BBM made claims throughout the campaign period that he had graduated from Oxford (https://newsinfo.inquirer.net/1550308/bongbong-marcos-maintains-he-graduated-from-oxford),,,,,,
43-54,31/03/2023 13:54:00,https://twitter.com/DeniseZabina/status/1453842919031406592,43,"Reyes, Victor",MRCS,BBM Oxford/Wharton Grad,BBM Wharton,@DeniseZabina,Zabina Denise,,Anonymous,09/21,27,2,,"""@Tessavelino Ang dami nga degree pqg nagsalota naman hindi halata 
And pano nakapasok si bbm ng MBA program sa Wharton kung wala siyang degree..""",,"Text, Reply",28/10/2021 21:55,,Rational,0,0,0,0,,,"BBM does not hold a degree from Oxford, only a special diploma which was treated as an equivalent for the purposes of admission to Wharton (https://verafiles.org/articles/documents-bongbong-marcos-university-education-part-2-wharto)",,,,,,
43-55,31/03/2023 13:58:00,https://twitter.com/AnaBarome/status/1452910326391787520,43,"Reyes, Victor",MRCS,BBM Oxford/Wharton Grad,BBM Wharton,@AnaBarome,Ana Lina Barome,"Sabi nila:
Paid Troll
a Bot
Dutertard
Hindi Desente


Sabi ko:
Power Tool",Anonymous,10/20,204,107,,"@rsurtida Yup. BBM can never enroll for an MBA in Wharton Pennsylvania for that Masters require a degree in undergrad or it's equivalent in other countries. Since BBM was able to enroll for an MBA in Wharton sch, Ergo: BBM completed a degree in Oxford https://t.co/zy3LAvm5ds",,"Text, Reply",26/10/2021 08:09,,Rational,0,0,0,0,,,"BBM does not hold a degree from Oxford nor did he finish undergrad studies there, only a special diploma which was treated as an equivalent for the purposes of admission to Wharton (https://verafiles.org/articles/documents-bongbong-marcos-university-education-part-2-wharto)",,,,,,
43-56,31/03/2023 14:02:00,https://twitter.com/reyares/status/1452674985860861952,43,"Reyes, Victor",MRCS,BBM Oxford/Wharton Grad,BBM Wharton,@reyares,Rey C. Ares,Life goes on,Anonymous,01/10,33,9,,@bobitiglao It’s really an idiotic disgraceful “BOBO”critique - coming from M. Vitug. On the other hand how could BBM be accepted at Wharton- MBA if that diploma wasn’t a college degree equivalent.,,"Text, Reply",25/10/2021 16:34,,Rational,0,1,0,0,,,"BBM does not hold a degree from Oxford nor did he finish undergrad studies there, only a special diploma which was treated as an equivalent for the purposes of admission to Wharton (https://verafiles.org/articles/documents-bongbong-marcos-university-education-part-2-wharto)",,,,,,
43-57,31/03/2023 14:06:00,https://twitter.com/jylrdgls/status/1444151144570187778,43,"Reyes, Victor",MRCS,BBM Oxford Grad,BBM Wharton,@jylrdgls,Jaylord,cuteeeee,Anonymous,03/17,85,160,,@ggonefan @Cynngbea @imeleagant solid proof please. BBM completed his degree in Oxford. He dropped his studies at Wharton because he has to run for vice-governor. Wait pano tayo napunta sa topic na ganto? Ah okay because I debunked ur baseless statements.,,"Text, Reply",02/10/2021 04:03,,Rational,0,4,0,1,,,"BBM does not hold a degree from Oxford nor did he finish undergrad studies there, only a special diploma which was treated as an equivalent for the purposes of admission to Wharton (https://verafiles.org/articles/documents-bongbong-marcos-university-education-part-2-wharto)",,,,,,
43-58,31/03/2023 14:16:05,https://twitter.com/joruamakijun/status/1467862586993491971,43,"Reyes, Victor",MRCS,BBM Oxford Grad,BBM Wharton,@joruamakijun,tfw,I'm also @huening_mimi,Anonymous,10/21,261,115,,"@SZudee @RolandR19327469 @guingonabart 1. Public servanthood ang maging presidente. Hindi para maghanap buhay :)

2. He finished College. In fact, he was admitted to Wharton for an MBA :)

3. Duterte didn't say it's BBM :)

GISING!",,"Text, Reply",06/12/2021 14:24,,Rational,0,1,0,0,,,"BBM does not hold a degree from Oxford nor did he finish undergrad studies there, only a special diploma which was treated as an equivalent for the purposes of admission to Wharton (https://verafiles.org/articles/documents-bongbong-marcos-university-education-part-2-wharto)",,,,,,
43-59,31/03/2023 14:17:18,https://twitter.com/AndyBau1060/status/1467102033563951108,43,"Reyes, Victor",MRCS,BBM Oxford Grad,BBM Wharton,@AndyBau1060,Andy Bautista,"He Makes All Things Beautiful, In His Time",Anonymous,10/19,50,12,,"@chocosuckao @DHorizonIsClear @PhilstarNews Why is everyone so hang up with BBM not graduating from Oxford, is it a requirement?

While you may disagree, he got a certification from Oxford that he completed his course. 

Classification - pass 

Furthermore, he also enrolled in Wharton which is a graduate school.",,"Text, Reply",06/12/2021 14:24,,Rational,0,1,0,0,,,"BBM does not hold a degree from Oxford nor did he finish undergrad studies there, only a special diploma which was treated as an equivalent for the purposes of admission to Wharton (https://verafiles.org/articles/documents-bongbong-marcos-university-education-part-2-wharto)",,,,,,
43-60,31/03/2023 14:22:55,https://twitter.com/KathrynSolidum/status/1466502322180136965,43,"Reyes, Victor",MRCS,BBM Wharton Grad,BBM Wharton,@KathrynSolidum,Kat_S,,Anonymous,06/09,119,64,,@DHorizonIsClear @manilabulletin May MBA si BBM sa Wharton.,,"Text, Reply",02/12/2021 20:19,,Rational,2,1,0,0,,,BBM did not finish his graduate studies at Wharton (https://www.rappler.com/nation/84959-bongbong-marcos-statement-oxford-wharton/),,,,,,
43-61,31/03/2023 16:32:25,https://twitter.com/voiceofDnorth/status/1465912885515669506,43,"Reyes, Victor",MRCS,BBM Oxford/Wharton Grad,BBM Wharton,@voiceofDnorth,ana,this account supports pbbm and his governance ❤💚,Anonymous,11/21,316,353,,"@Queerwulf3 It's simple, paano nakapasok si BBM sa Wharton kung di nya naipasa yung degree nya? Pakitanong na din po sa friend mo.",,"Text, Reply",01/12/2021 05:17,,Rational,1,1,0,0,,,"BBM does not hold a degree from Oxford nor did he finish undergrad studies there, only a special diploma which was treated as an equivalent for the purposes of admission to Wharton (https://verafiles.org/articles/documents-bongbong-marcos-university-education-part-2-wharto)",,,,,,
43-62,31/03/2023 16:38:45,https://twitter.com/maldita2k11/status/1486682186417725440,43,"Reyes, Victor",MRCS,BBM Wharton Grad,BBM Wharton,@maldita2k11,mALditA 😝,"My twitter, my rules!  I'll tweet whatever i want to tweet!! 😂😜",Anonymous,04/10,348,1158,,"Bakit lagi sinasabi na walang natapos si BBM? Kung hindi nyo tanggap ang special diploma, he graduated naman sa wharton. So ano ang walang natapos dun? Sa pinas nga magkaroon ka lang ng special diploma galing tesda for 2 months proud na tayo eh. 😂
#LeniTangaSaLahat",,Text,27/01/2022 12:47,,Rational,5,1,2,0,,,BBM did not finish his graduate studies at Wharton (https://www.rappler.com/nation/84959-bongbong-marcos-statement-oxford-wharton/),,,,,,
43-63,31/03/2023 16:42:50,https://twitter.com/nikonikoweeee/status/730346571275997184,43,"Reyes, Victor",MRCS,BBM Oxford Grad,BBM Oxford,@nikonikoweeee,niko,victim to the rhythm/ of our singing bones,Anonymous,01/15,915,536,,"BBM - Oxford grad, 34 authored bills, 17 co-authored bills, active senator, veteran legislative of the gov't, Ilocos governor, experienced",,Text,11/05/2016 10:39,,Rational,0,0,0,0,,,"BBM does not hold a degree from Oxford nor did he finish undergrad studies there, only a special diploma which was treated as an equivalent for the purposes of admission to Wharton (https://verafiles.org/articles/documents-bongbong-marcos-university-education-part-2-wharto)",,,,,,
43-64,31/03/2023 16:58:55,https://twitter.com/KhemNInok/status/1453724474667274244,43,"Reyes, Victor",MRCS,BBM Oxford Grad,BBM Oxford,@KhemNInok,The Truth,Uphold the truth & say sorry if I committed error,Anonymous,08/11,213,39,,Ikaw Ka Isko ang nagisinungaling... BBM didn't lie about his education. He didn't say he was a degree graduate. What he said is that he received a special diploma from the degree confirmation given  by Oxford University which is equivalent to a degree graduate in the Phil #BBM202 https://t.co/DHZHMdYeCs,,Text,28/10/2021 14:04,,Rational,0,0,0,0,,,BBM made claims throughout the campaign period that he had graduated from Oxford (https://newsinfo.inquirer.net/1550308/bongbong-marcos-maintains-he-graduated-from-oxford),,,,,,
43-65,31/03/2023 17:30:38,https://twitter.com/toti_claro/status/1453611887334072324,43,"Reyes, Victor",MRCS,BBM Oxford Grad,BBM Oxford,@toti_claro,Deodato,Music,Anonymous,11/17,3357,2190,,@Hatomer03 @GilbertCRemulla Do you have any proof that BBM lied to his Educ.attainment? Have you seen the 2016 interview by MSM about this issue? He said: He got his Special Diploma in Oxford. He did not finish his School in Wharton because he was elected as Vice Gov..Mali ba yun ginawa nya. Is he lie to u?,,Text,28/10/2021 06:37,,Rational,0,1,0,0,,,BBM made claims throughout the campaign period that he had graduated from Oxford (https://newsinfo.inquirer.net/1550308/bongbong-marcos-maintains-he-graduated-from-oxford),,,,,,
43-66,02/04/2023 12:48:20,https://twitter.com/sheenoo14/status/1485252269478387716,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@sheenoo14,SHI NO #MarcosLatta,,Anonymous,12/21,124,47,,The diploma Bbm earned in Oxford is equivalent to an undergrad degree. Simpleng bagay pinapahirapan nla sarili nila. Jusko #LeniDuwag,,Text,23/01/2022 22:05,,Emotional,1,0,1,0,,,An Oxford special diploma is NOT equivalent to a Bachelor's degree https://newsinfo.inquirer.net/1507278/marcos-jrs-special-diploma-from-oxford-you-can-have-it-too ,,,,,,
43-67,02/04/2023 12:55:10,https://twitter.com/PositivityLivi1/status/1485146683260665858,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@PositivityLivi1,Marco Guevarra,#endHIVstigma YOU CAN'T GET HIV FROM A PERSON WITH HIV IF THEY ARE TAKING MEDICINE AND UNDETECTABLE. #alter #UequalsU,Anonymous,01/21,682,1108,Philippines,"Da bessss  number 1 sa surveyyyyyy

Number 1 din sa puso ko.
Number 1 din sa class sa Oxford kaya may spesyal diploma, sa sobrang talino special ang binigay, daig pa ang ordinary. 
Kahit anong nakaw at panloloko mo BBM, sayo pa din meeee.

Gooo BBM!!!",,Text,23/01/2022 15:05,,Emotional,1,1,0,0,,,"An Oxford special diploma is NOT equivalent to a Bachelor's degree and is neither superior nor comparable to one. It most definitely does not mean that a student is the ""number 1"" in their class. https://www.cnnphilippines.com/news/2021/10/22/Oxford-group-Marcos-credentials.html",,,,,,
43-68,02/04/2023 12:56:17,https://twitter.com/PositivityLivi1/status/1485145854956929028,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@PositivityLivi2,Marco Guevarra,#endHIVstigma YOU CAN'T GET HIV FROM A PERSON WITH HIV IF THEY ARE TAKING MEDICINE AND UNDETECTABLE. #alter #UequalsU,Anonymous,01/21,682,1108,Philippines,"Korekkkkk BBM da bes in the world and in the universe and in the galaksyyyyyyy.

Pinaka honest na pulitiko si BBM!!!! Sobrang talino graduate sa Oxford with super duper special diploma tinalo pa sa special siopao sa 7-11!!!

Goooo BBM!",,Text,23/01/2022 15:02,,Emotional,2,1,0,0,,,"An Oxford special diploma is NOT equivalent to a Bachelor's degree and is neither superior nor comparable to one. It most definitely does not mean that a student is the ""number 1"" in their class. https://www.cnnphilippines.com/news/2021/10/22/Oxford-group-Marcos-credentials.html","User seems to imply that a special diploma is a ""better"" diploma.",,,,,
43-69,02/04/2023 12:57:05,https://twitter.com/AduiiKawaw/status/1484823163305598981,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@AduiiKawaw,Pong Pagong😰😰😰,Ikuwento ninyo sa Pagong mga Communistang mga Pinklawan.😤😤😤😤😤😤😤😤😤,Anonymous,11/21,688,193,,"#KAYOangDUWAG.he will not received that special diploma.if he is not finished that course.and if he had no a highest grade.reqiuired of it .the special diploma he have received is MORE than a degree here.U search SMNI news ""said how BBM got a Degree on Oxford.",,Text,22/01/2022 17:40,,Emotional,0,1,0,0,,,"An Oxford special diploma is NOT equivalent to a Bachelor's degree. Moreover, it has already been confirmed that BBM indeed did not complete his degree. https://newsinfo.inquirer.net/1507278/marcos-jrs-special-diploma-from-oxford-you-can-have-it-too Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree",,,,,,
43-70,02/04/2023 13:10:47,https://twitter.com/tanyacarmelia/status/1484808994023624707,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@tanyacarmelia,tan_chaoli ✌❤👊💚,This is not a troll account ✌❤👊💚,Anonymous,01/15,84,211,,Ayan kausapin mo ang abogado ni BBM baka may matutunan ka sa oxford issue na pinapalaki mo.,,"Text, Image",22/01/2022 16:43,,Emotional,0,1,0,0,,,"An Oxford special diploma is NOT equivalent to a Bachelor's degree. Moreover, it has already been confirmed that BBM indeed did not complete his degree. https://newsinfo.inquirer.net/1507278/marcos-jrs-special-diploma-from-oxford-you-can-have-it-too Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree","Attached image in the tweet contains screenshot of a post from an unknown user seemingly trying to explain how BBM's special diploma is equivalent to a completed degree when, in fact, it is not.",,,,,
43-71,02/04/2023 13:14:09,https://twitter.com/BobongpA/status/1484432012866105345,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@BobongpA,Madumb Hadouken,,Anonymous,06/21,131,149,,Fyi graduate Ng oxford si bbm  na mas mataas pa sa degree Ng nanay mong bobita,,Text,21/01/2022 15:45,,Emotional,0,1,0,0,,,Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,,,,,,
43-72,02/04/2023 13:16:53,https://twitter.com/EmmaEiight/status/1483681136387575809,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@EmmaEiight,Emma,I'm so poor I couldn't even pay attention 🤷‍♀️,Anonymous,08/15,4651,4343,,"BBM has a Diploma from Oxford and there are notable people who drop out of school like Bill Gates, Steve Jobs, Mark Zuckerberg, Rockefeller, Dickens, who are just as smart as BBM & cannot be compared sa lugaw brains.",,Text,19/01/2022 14:02,,Emotional,1,4,0,0,,,An Oxford special diploma is NOT equivalent to a Bachelor's degree https://newsinfo.inquirer.net/1507278/marcos-jrs-special-diploma-from-oxford-you-can-have-it-too ,User seems to imply that BBM's special diploma means that he has graduated.,,,,,
